run_id,driv_id,soil_id,crop_id,description,site,country,lat,lon,crop_nm,variety,treatment,irrigaTrueion,plan_year,plan_doy,harv_year,harv_doy,spinup_days,label,source,planting_type,plan_depth,rowspacing,plants_m,plants_ha,area_ha,residue,residue_type,residue_amount_ton_ha,soil,observation,run_jules,sim_base
SB0001,DRPI0001,SLPI0001,CRSB0001,Soybean Rainfed,Piracicaba - Faz. Areao (ESALQ),Brazil,-22.698538,-47.642881,Soybean,BRS 399RR,Rainfed,FALSE,2015,352,2016,95,60,Soybean Rainfed,https://www.teses.usp.br/teses/disponiveis/11/11152/tde-18052018-140516/pt-br.php,NA,4,45,16,355552,0.0576,NA,NA,NA,Nitosoil,Data from Evandro`s thesis and Giulia's CI,FALSE,base_setup_01.csv
SB0002,DRPI0001,SLPI0001,CRSB0001,Soybean Irrigated ,Piracicaba - Faz. Areao (ESALQ),Brazil,-22.698538,-47.642881,Soybean,BRS 399RR,Irrigated,TRUE,2015,352,2016,97,60,Soybean Irrigated ,https://www.teses.usp.br/teses/disponiveis/11/11152/tde-18052018-140516/pt-br.php,NA,4,45,16,355552,0.0576,NA,NA,NA,Nitosoil,Data from Evandro`s thesis and Giulia's CI,FALSE,base_setup_01.csv
SB0003,DRPI0001,SLPI0001,CRSB0001,Soybean Irrigated ,Piracicaba - Faz. Areao (ESALQ),Brazil,-22.698538,-47.642881,Soybean,BRS399RR,Irrigated,TRUE,2016,304,2017,58,60,Soybean Irrigated ,https://www.teses.usp.br/teses/disponiveis/11/11152/tde-18052018-140516/pt-br.php,NA,4,45,12,266667,0.0054,NA,NA,NA,Nitosoil,Data from Evandro`s thesis and Giulia's CI,FALSE,base_setup_01.csv
SB0004,DRPI0001,SLPI0001,CRSB0001,Soybean Rainfed,Piracicaba - Faz. Areao (ESALQ),Brazil,-22.698538,-47.642881,Soybean,BRS399RR,Rainfed,FALSE,2016,304,2017,58,60,Soybean Rainfed,https://www.teses.usp.br/teses/disponiveis/11/11152/tde-18052018-140516/pt-br.php,NA,4,45,12,266667,0.0054,NA,NA,NA,Nitosoil,Data from Evandro`s thesis and Giulia's CI,FALSE,base_setup_01.csv
MZ0001,DRPI0001,SLPI0001,CRMZ0001,Maize Irrigated,Piracicaba - Faz. Areao (ESALQ),Brazil,-22.698538,-47.642881,Maize,DKB363,Irrigated,TRUE,2018,333,2019,86,60,Maize Irrigated,not published,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nitosoil,Data from Luis Antolin's phd field experiment,TRUE,base_setup_01.csv
MZ0002,DRPI0001,SLPI0001,CRMZ0001,Maize Rainfed,Piracicaba - Faz. Areao (ESALQ),Brazil,-22.698538,-47.642881,Maize,DKB363,Rainfed,FALSE,2018,333,2019,86,60,Maize Rainfed,not published,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nitosoil,Data from Luis Antolin's phd field experiment,TRUE,base_setup_01.csv
SC0001,DRPI0001,PI0002,CRSC0001,Sugarcane Rainfed,Piracicaba - CTC,Brazil,-22.6931,-47.560563,Sugarcane,R570,Rainfed,FALSE,2004,301,2005,267,60,Sugarcane Rainfed,https://www.teses.usp.br/teses/disponiveis/11/11136/tde-19092006-170424/pt-br.php,Plant-Cane,20,140,13,NA,NA,NA,NA,NA,"Latossolo Vermelho Amarelo, distrofico (Typic Hapludox)","Data from Suguitani's thesis on CTC for assessing the Mosicas model. Crop havent shown significant difference between Rainfed/Irrigated trials; hypothesis are: deeper roots, wet year, high TAV. This data was used to parameterize CANEGRO by Marin (2012)",FALSE,base_setup_01.csv
SC0002,DRPI0001,PI0002,CRSC0001,Sugarcane Irrigated,Piracicaba - CTC,Brazil,-22.6931,-47.560563,Sugarcane,R570,Irrigated,TRUE,2004,301,2005,267,60,Sugarcane Irrigated,https://www.teses.usp.br/teses/disponiveis/11/11136/tde-19092006-170424/pt-br.php,Plant-Cane,20,140,13,NA,NA,NA,NA,NA,"Latossolo Vermelho Amarelo, distrofico (Typic Hapludox)","Data from Suguitani's thesis on CTC for assessing the Mosicas model. Crop havent shown significant difference between Rainfed/Irrigated trials; hypothesis are: deeper roots, wet year, high TAV. This data was used to parameterize CANEGRO by Marin (2012)",FALSE,base_setup_01.csv
SC0003,DRPI0001,PI0002,CRSC0001,Sugarcane Rainfed,Piracicaba - CTC,Brazil,-22.6931,-47.560563,Sugarcane,RB72454,Rainfed,FALSE,2004,301,2005,267,60,Sugarcane Rainfed,https://www.teses.usp.br/teses/disponiveis/11/11136/tde-19092006-170424/pt-br.php,Plant-Cane,20,140,13,NA,NA,NA,NA,NA,"Latossolo Vermelho Amarelo, distrofico (Typic Hapludox)","Data from Suguitani's thesis on CTC for assessing the Mosicas model. Crop havent shown significant difference between Rainfed/Irrigated trials; hypothesis are: deeper roots, wet year, high TAV. This data was used to parameterize CANEGRO by Marin (2012)",FALSE,base_setup_01.csv
SC0004,DRPI0001,PI0002,CRSC0001,Sugarcane Irrigated,Piracicaba - CTC,Brazil,-22.6931,-47.560563,Sugarcane,RB72454,Irrigated,TRUE,2004,301,2005,267,60,Sugarcane Irrigated,https://www.teses.usp.br/teses/disponiveis/11/11136/tde-19092006-170424/pt-br.php,Plant-Cane,20,140,13,NA,NA,NA,NA,NA,"Latossolo Vermelho Amarelo, distrofico (Typic Hapludox)","Data from Suguitani's thesis on CTC for assessing the Mosicas model. Crop havent shown significant difference between Rainfed/Irrigated trials; hypothesis are: deeper roots, wet year, high TAV. This data was used to parameterize CANEGRO by Marin (2012)",FALSE,base_setup_01.csv
SC0005,DRPI0001,PI0002,CRSC0001,Sugarcane Rainfed,Piracicaba - CTC,Brazil,-22.6931,-47.560563,Sugarcane,SP83-2847,Rainfed,FALSE,2004,301,2005,267,60,Sugarcane Rainfed,https://www.teses.usp.br/teses/disponiveis/11/11136/tde-19092006-170424/pt-br.php,Plant-Cane,20,140,13,NA,NA,NA,NA,NA,"Latossolo Vermelho Amarelo, distrofico (Typic Hapludox)","Data from Suguitani's thesis on CTC for assessing the Mosicas model. Crop havent shown significant difference between Rainfed/Irrigated trials; hypothesis are: deeper roots, wet year, high TAV. This data was used to parameterize CANEGRO by Marin (2012)",FALSE,base_setup_01.csv
SC0006,DRPI0001,PI0002,CRSC0001,Sugarcane Irrigated,Piracicaba - CTC,Brazil,-22.6931,-47.560563,Sugarcane,SP83-2847,Irrigated,TRUE,2004,301,2005,267,60,Sugarcane Irrigated,https://www.teses.usp.br/teses/disponiveis/11/11136/tde-19092006-170424/pt-br.php,Plant-Cane,20,140,13,NA,NA,NA,NA,NA,"Latossolo Vermelho Amarelo, distrofico (Typic Hapludox)","Data from Suguitani's thesis on CTC for assessing the Mosicas model. Crop havent shown significant difference between Rainfed/Irrigated trials; hypothesis are: deeper roots, wet year, high TAV. This data was used to parameterize CANEGRO by Marin (2012)",FALSE,base_setup_01.csv
SC0007,DRPI0001,PI0002,CRSC0001,Sugarcane Rainfed,Piracicaba - CTC,Brazil,-22.6931,-47.560563,Sugarcane,NCo376,Rainfed,FALSE,2004,301,2005,267,60,Sugarcane Rainfed,https://www.teses.usp.br/teses/disponiveis/11/11136/tde-19092006-170424/pt-br.php,Plant-Cane,20,140,13,NA,NA,NA,NA,NA,"Latossolo Vermelho Amarelo, distrofico (Typic Hapludox)","Data from Suguitani's thesis on CTC for assessing the Mosicas model. Crop havent shown significant difference between Rainfed/Irrigated trials; hypothesis are: deeper roots, wet year, high TAV. This data was used to parameterize CANEGRO by Marin (2012)",FALSE,base_setup_01.csv
SC0008,DRPI0001,PI0002,CRSC0001,Sugarcane Irrigated,Piracicaba - CTC,Brazil,-22.6931,-47.560563,Sugarcane,NCo376,Irrigated,TRUE,2004,301,2005,267,60,Sugarcane Irrigated,https://www.teses.usp.br/teses/disponiveis/11/11136/tde-19092006-170424/pt-br.php,Plant-Cane,20,140,13,NA,NA,NA,NA,NA,"Latossolo Vermelho Amarelo, distrofico (Typic Hapludox)","Data from Suguitani's thesis on CTC for assessing the Mosicas model. Crop havent shown significant difference between Rainfed/Irrigated trials; hypothesis are: deeper roots, wet year, high TAV. This data was used to parameterize CANEGRO by Marin (2012)",FALSE,base_setup_01.csv
SC0009,AT0001,AT0001,CRSC0001,Sugarcane Rainfed,Aparecida do Taboado,Brazil,-20.08333333,-51.3,Sugarcane,NA,Rainfed,FALSE,2006,182,2007,251,60,Sugarcane Rainfed,doi:10.2134/agronj2010.0302,Ratoon1,20,140,13,NA,NA,NA,NA,NA,Typic Hapludox,This data was used to parameterize CANEGRO by Marin (2012),FALSE,base_setup_01.csv
SC0010,AT0001,AT0001,CRSC0001,Sugarcane Rainfed,Aparecida do Taboado,Brazil,-20.08333333,-51.3,Sugarcane,NA,Rainfed,FALSE,2006,182,2007,251,60,Sugarcane Rainfed,doi:10.2134/agronj2010.0302,Ratoon1,20,140,13,NA,NA,NA,NA,NA,Typic Hapludox,This data was used to parameterize CANEGRO by Marin (2012),FALSE,base_setup_01.csv
SC0011,CO0001,CO0001,CRSC0001,Sugarcane Rainfed,Colina,Brazil,-20.41666667,-48.31666667,Sugarcane,NA,Rainfed,FALSE,2004,41,2005,167,60,Sugarcane Rainfed,doi:10.2134/agronj2010.0302,Plant-Cane,20,140,13,NA,NA,NA,NA,NA,Typic Hapludox,This data was used to parameterize CANEGRO by Marin (2012),FALSE,base_setup_01.csv
SC0012,CO0001,CO0001,CRSC0001,Sugarcane Rainfed,Colina,Brazil,-20.41666667,-48.31666667,Sugarcane,NA,Rainfed,FALSE,2004,41,2005,167,60,Sugarcane Rainfed,doi:10.2134/agronj2010.0302,Plant-Cane,20,140,13,NA,NA,NA,NA,NA,Typic Hapludox,This data was used to parameterize CANEGRO by Marin (2012),FALSE,base_setup_01.csv
SC0013,CO0001,CO0001,CRSC0001,Sugarcane Rainfed,Colina,Brazil,-20.41666667,-48.31666667,Sugarcane,NA,Rainfed,FALSE,2004,41,2005,167,60,Sugarcane Rainfed,doi:10.2134/agronj2010.0302,Plant-Cane,20,140,13,NA,NA,NA,NA,NA,Typic Hapludox,This data was used to parameterize CANEGRO by Marin (2012),FALSE,base_setup_01.csv
SC0014,CO0001,CO0001,CRSC0001,Sugarcane Rainfed,Colina,Brazil,-20.41666667,-48.31666667,Sugarcane,NA,Rainfed,FALSE,2004,41,2005,167,60,Sugarcane Rainfed,doi:10.2134/agronj2010.0302,Plant-Cane,20,140,13,NA,NA,NA,NA,NA,Typic Hapludox,This data was used to parameterize CANEGRO by Marin (2012),FALSE,base_setup_01.csv
SC0015,OL0001,OL0001,CRSC0001,Sugarcane Rainfed,Olimpia,Brazil,-20.43333333,-48.53333333,Sugarcane,NA,Rainfed,FALSE,2004,41,2005,167,60,Sugarcane Rainfed,doi:10.2134/agronj2010.0302,Plant-Cane,20,140,13,NA,NA,NA,NA,NA,Typic Hapludox,This data was used to parameterize CANEGRO by Marin (2012),FALSE,base_setup_01.csv
SC0016,OL0001,OL0001,CRSC0001,Sugarcane Rainfed,Olimpia,Brazil,-20.43333333,-48.53333333,Sugarcane,NA,Rainfed,FALSE,2007,258,2008,318,60,Sugarcane Rainfed,doi:10.2134/agronj2010.0302,Plant-Cane,20,140,13,NA,NA,NA,NA,NA,Typic Hapludox,This data was used to parameterize CANEGRO by Marin (2012),FALSE,base_setup_01.csv
SC0017,OL0001,OL0001,CRSC0001,Sugarcane Rainfed,Olimpia,Brazil,-20.43333333,-48.53333333,Sugarcane,NA,Rainfed,FALSE,2007,258,2008,318,60,Sugarcane Rainfed,doi:10.2134/agronj2010.0302,Plant-Cane,20,140,13,NA,NA,NA,NA,NA,Typic Hapludox,This data was used to parameterize CANEGRO by Marin (2012),FALSE,base_setup_01.csv
SC0018,OL0001,OL0001,CRSC0001,Sugarcane Rainfed,Olimpia,Brazil,-20.43333333,-48.53333333,Sugarcane,NA,Rainfed,FALSE,2007,258,2008,318,60,Sugarcane Rainfed,doi:10.2134/agronj2010.0302,Plant-Cane,20,140,13,NA,NA,NA,NA,NA,Typic Hapludox,This data was used to parameterize CANEGRO by Marin (2012),FALSE,base_setup_01.csv
SC0019,OL0001,OL0001,CRSC0001,Sugarcane Rainfed,Olimpia,Brazil,-20.43333333,-48.53333333,Sugarcane,NA,Rainfed,FALSE,2007,258,2008,318,60,Sugarcane Rainfed,doi:10.2134/agronj2010.0302,Plant-Cane,20,140,13,NA,NA,NA,NA,NA,Typic Hapludox,This data was used to parameterize CANEGRO by Marin (2012),FALSE,base_setup_01.csv
MZ0003,PI0001,PI0001,CRMZ0001,Maize Irrigated,Piracicaba - Posto Meteorologico (ESALQ),Brazil,-22.704156,-47.623095,Maize,P4285YH,Irrigated,TRUE,2016,187,2016,294,60,Maize Irrigated,https://www.teses.usp.br/teses/disponiveis/11/11152/tde-17072018-134305/pt-br.php,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data from Tamires Teles's master field experiment near ESALQ's weather station,FALSE,base_setup_01.csv
