run_id,obs_value,variable,obs_type,units,date,year,doy,dae,sub_plot,valid
MZ0001,1.734555556,leaf_fw,avg,ton/ha,19/12/2018,2018,353,8,1,1
MZ0001,4.173444444,leaf_fw,avg,ton/ha,26/12/2018,2018,360,15,1,1
MZ0001,7.010555556,leaf_fw,avg,ton/ha,2/1/2019,2019,2,22,1,1
MZ0001,15.16277778,leaf_fw,avg,ton/ha,9/1/2019,2019,9,29,1,1
MZ0001,12.81444444,leaf_fw,avg,ton/ha,17/01/2019,2019,17,37,1,1
MZ0001,19.28688889,leaf_fw,avg,ton/ha,23/01/2019,2019,23,43,1,1
MZ0001,9.528888889,leaf_fw,avg,ton/ha,31/01/2019,2019,31,51,1,1
MZ0001,14.297,leaf_fw,avg,ton/ha,7/2/2019,2019,38,58,1,1
MZ0001,15.22222222,leaf_fw,avg,ton/ha,14/02/2019,2019,45,65,1,1
MZ0001,16.16666667,leaf_fw,avg,ton/ha,1/3/2019,2019,60,80,1,1
MZ0001,14,leaf_fw,avg,ton/ha,8/3/2019,2019,67,87,1,1
MZ0001,13.22222222,leaf_fw,avg,ton/ha,14/03/2019,2019,73,93,1,1
MZ0001,4.666666667,leaf_fw,avg,ton/ha,22/03/2019,2019,81,101,1,1
MZ0001,1.343777778,stalk_fw,avg,ton/ha,19/12/2018,2018,353,8,1,1
MZ0001,4.702555556,stalk_fw,avg,ton/ha,26/12/2018,2018,360,15,1,1
MZ0001,16.39888889,stalk_fw,avg,ton/ha,2/1/2019,2019,2,22,1,1
MZ0001,30.948,stalk_fw,avg,ton/ha,9/1/2019,2019,9,29,1,1
MZ0001,28.42544444,stalk_fw,avg,ton/ha,17/01/2019,2019,17,37,1,1
MZ0001,35.87255556,stalk_fw,avg,ton/ha,23/01/2019,2019,23,43,1,1
MZ0001,27.47655556,stalk_fw,avg,ton/ha,31/01/2019,2019,31,51,1,1
MZ0001,27.47777778,stalk_fw,avg,ton/ha,7/2/2019,2019,38,58,1,1
MZ0001,28.61111111,stalk_fw,avg,ton/ha,14/02/2019,2019,45,65,1,1
MZ0001,28.72222222,stalk_fw,avg,ton/ha,1/3/2019,2019,60,80,1,1
MZ0001,24.05555556,stalk_fw,avg,ton/ha,8/3/2019,2019,67,87,1,1
MZ0001,22.83333333,stalk_fw,avg,ton/ha,14/03/2019,2019,73,93,1,1
MZ0001,16.27777778,stalk_fw,avg,ton/ha,22/03/2019,2019,81,101,1,1
MZ0001,0,cob_fw,avg,ton/ha,19/12/2018,2018,353,8,1,1
MZ0001,0,cob_fw,avg,ton/ha,26/12/2018,2018,360,15,1,1
MZ0001,0,cob_fw,avg,ton/ha,2/1/2019,2019,2,22,1,1
MZ0001,0,cob_fw,avg,ton/ha,9/1/2019,2019,9,29,1,1
MZ0001,0,cob_fw,avg,ton/ha,17/01/2019,2019,17,37,1,1
MZ0001,1.176555556,cob_fw,avg,ton/ha,23/01/2019,2019,23,43,1,1
MZ0001,13.46344444,cob_fw,avg,ton/ha,31/01/2019,2019,31,51,1,1
MZ0001,26.90166667,cob_fw,avg,ton/ha,7/2/2019,2019,38,58,1,1
MZ0001,21.16666667,cob_fw,avg,ton/ha,14/02/2019,2019,45,65,1,1
MZ0001,13.05555556,cob_fw,avg,ton/ha,1/3/2019,2019,60,80,1,1
MZ0001,12.33333333,cob_fw,avg,ton/ha,8/3/2019,2019,67,87,1,1
MZ0001,11.77777778,cob_fw,avg,ton/ha,14/03/2019,2019,73,93,1,1
MZ0001,6,cob_fw,avg,ton/ha,22/03/2019,2019,81,101,1,1
MZ0001,0,cob_n,msr,n_m,19/12/2018,2018,353,8,1,1
MZ0001,0,cob_n,msr,n_m,26/12/2018,2018,360,15,1,1
MZ0001,0,cob_n,msr,n_m,2/1/2019,2019,2,22,1,1
MZ0001,0,cob_n,msr,n_m,9/1/2019,2019,9,29,1,1
MZ0001,0,cob_n,msr,n_m,17/01/2019,2019,17,37,1,1
MZ0001,6,cob_n,msr,n_m,23/01/2019,2019,23,43,1,1
MZ0001,11,cob_n,msr,n_m,31/01/2019,2019,31,51,1,1
MZ0001,13,cob_n,msr,n_m,7/2/2019,2019,38,58,1,1
MZ0001,12,cob_n,msr,n_m,14/02/2019,2019,45,65,1,1
MZ0001,14,cob_n,msr,n_m,1/3/2019,2019,60,80,1,1
MZ0001,9,cob_n,msr,n_m,8/3/2019,2019,67,87,1,1
MZ0001,14,cob_n,msr,n_m,14/03/2019,2019,73,93,1,1
MZ0001,10,cob_n,msr,n_m,22/03/2019,2019,81,101,1,1
MZ0001,0,grain_fw,avg,ton/ha,19/12/2018,2018,353,8,1,1
MZ0001,0,grain_fw,avg,ton/ha,26/12/2018,2018,360,15,1,1
MZ0001,0,grain_fw,avg,ton/ha,2/1/2019,2019,2,22,1,1
MZ0001,0,grain_fw,avg,ton/ha,9/1/2019,2019,9,29,1,1
MZ0001,0,grain_fw,avg,ton/ha,17/01/2019,2019,17,37,1,1
MZ0001,0,grain_fw,avg,ton/ha,23/01/2019,2019,23,43,1,1
MZ0001,0,grain_fw,avg,ton/ha,31/01/2019,2019,31,51,1,1
MZ0001,0,grain_fw,avg,ton/ha,7/2/2019,2019,38,58,1,1
MZ0001,4.825222222,grain_fw,avg,ton/ha,14/02/2019,2019,45,65,1,1
MZ0001,15,grain_fw,avg,ton/ha,1/3/2019,2019,60,80,1,1
MZ0001,15.53055556,grain_fw,avg,ton/ha,8/3/2019,2019,67,87,1,1
MZ0001,22.53388889,grain_fw,avg,ton/ha,14/03/2019,2019,73,93,1,1
MZ0001,14.72222222,grain_fw,avg,ton/ha,22/03/2019,2019,81,101,1,1
MZ0001,0.235555556,leaf_dw,avg,ton/ha,19/12/2018,2018,353,8,1,1
MZ0001,0.676,leaf_dw,avg,ton/ha,26/12/2018,2018,360,15,1,1
MZ0001,1.219111111,leaf_dw,avg,ton/ha,2/1/2019,2019,2,22,1,1
MZ0001,7.536111111,leaf_dw,avg,ton/ha,9/1/2019,2019,9,29,1,1
MZ0001,2.641444444,leaf_dw,avg,ton/ha,17/01/2019,2019,17,37,1,1
MZ0001,4.199,leaf_dw,avg,ton/ha,23/01/2019,2019,23,43,1,1
MZ0001,2.896777778,leaf_dw,avg,ton/ha,31/01/2019,2019,31,51,1,1
MZ0001,2.866222222,leaf_dw,avg,ton/ha,7/2/2019,2019,38,58,1,1
MZ0001,3.370666667,leaf_dw,avg,ton/ha,14/02/2019,2019,45,65,1,1
MZ0001,4.769444444,leaf_dw,avg,ton/ha,21/02/2019,2019,52,72,1,1
MZ0001,4.003888889,leaf_dw,avg,ton/ha,1/3/2019,2019,60,80,1,1
MZ0001,3.326111111,leaf_dw,avg,ton/ha,8/3/2019,2019,67,87,1,1
MZ0001,4.239555556,leaf_dw,avg,ton/ha,14/03/2019,2019,73,93,1,1
MZ0001,2.5,leaf_dw,avg,ton/ha,22/03/2019,2019,81,101,1,1
MZ0001,0.110444444,stalk_dw,avg,ton/ha,19/12/2018,2018,353,8,1,1
MZ0001,0.543777778,stalk_dw,avg,ton/ha,26/12/2018,2018,360,15,1,1
MZ0001,1.618888889,stalk_dw,avg,ton/ha,2/1/2019,2019,2,22,1,1
MZ0001,7.387222222,stalk_dw,avg,ton/ha,9/1/2019,2019,9,29,1,1
MZ0001,3.877,stalk_dw,avg,ton/ha,17/01/2019,2019,17,37,1,1
MZ0001,5.774,stalk_dw,avg,ton/ha,23/01/2019,2019,23,43,1,1
MZ0001,6.266666667,stalk_dw,avg,ton/ha,31/01/2019,2019,31,51,1,1
MZ0001,5.183333333,stalk_dw,avg,ton/ha,7/2/2019,2019,38,58,1,1
MZ0001,6.659444444,stalk_dw,avg,ton/ha,14/02/2019,2019,45,65,1,1
MZ0001,6.917555556,stalk_dw,avg,ton/ha,21/02/2019,2019,52,72,1,1
MZ0001,6.779,stalk_dw,avg,ton/ha,1/3/2019,2019,60,80,1,1
MZ0001,5.43,stalk_dw,avg,ton/ha,8/3/2019,2019,67,87,1,1
MZ0001,5.823888889,stalk_dw,avg,ton/ha,14/03/2019,2019,73,93,1,1
MZ0001,0,cob_dw,avg,ton/ha,19/12/2018,2018,353,8,1,1
MZ0001,0,cob_dw,avg,ton/ha,26/12/2018,2018,360,15,1,1
MZ0001,0,cob_dw,avg,ton/ha,2/1/2019,2019,2,22,1,1
MZ0001,0,cob_dw,avg,ton/ha,9/1/2019,2019,9,29,1,1
MZ0001,0,cob_dw,avg,ton/ha,17/01/2019,2019,17,37,1,1
MZ0001,0.157333333,cob_dw,avg,ton/ha,23/01/2019,2019,23,43,1,1
MZ0001,4.542111111,cob_dw,avg,ton/ha,31/01/2019,2019,31,51,1,1
MZ0001,6.022,cob_dw,avg,ton/ha,7/2/2019,2019,38,58,1,1
MZ0001,5.021666667,cob_dw,avg,ton/ha,14/02/2019,2019,45,65,1,1
MZ0001,4.973666667,cob_dw,avg,ton/ha,21/02/2019,2019,52,72,1,1
MZ0001,4.959333333,cob_dw,avg,ton/ha,1/3/2019,2019,60,80,1,1
MZ0001,4.395333333,cob_dw,avg,ton/ha,8/3/2019,2019,67,87,1,1
MZ0001,4.516666667,cob_dw,avg,ton/ha,14/03/2019,2019,73,93,1,1
MZ0001,0,grain_dw,avg,ton/ha,19/12/2018,2018,353,8,1,1
MZ0001,0,grain_dw,avg,ton/ha,26/12/2018,2018,360,15,1,1
MZ0001,0,grain_dw,avg,ton/ha,2/1/2019,2019,2,22,1,1
MZ0001,0,grain_dw,avg,ton/ha,9/1/2019,2019,9,29,1,1
MZ0001,0,grain_dw,avg,ton/ha,17/01/2019,2019,17,37,1,1
MZ0001,0,grain_dw,avg,ton/ha,23/01/2019,2019,23,43,1,1
MZ0001,0,grain_dw,avg,ton/ha,31/01/2019,2019,31,51,1,1
MZ0001,0,grain_dw,avg,ton/ha,7/2/2019,2019,38,58,1,1
MZ0001,1.561333333,grain_dw,avg,ton/ha,14/02/2019,2019,45,65,1,1
MZ0001,5.083111111,grain_dw,avg,ton/ha,21/02/2019,2019,52,72,1,1
MZ0001,8.467,grain_dw,avg,ton/ha,1/3/2019,2019,60,80,1,1
MZ0001,9.045,grain_dw,avg,ton/ha,8/3/2019,2019,67,87,1,1
MZ0001,14.45922222,grain_dw,avg,ton/ha,14/03/2019,2019,73,93,1,1
MZ0001,2.765777778,leaf_fw,avg,ton/ha,19/12/2018,2018,353,8,2,1
MZ0001,4.690555556,leaf_fw,avg,ton/ha,26/12/2018,2018,360,15,2,1
MZ0001,6.428,leaf_fw,avg,ton/ha,2/1/2019,2019,2,22,2,1
MZ0001,11.83888889,leaf_fw,avg,ton/ha,9/1/2019,2019,9,29,2,1
MZ0001,19.29022222,leaf_fw,avg,ton/ha,17/01/2019,2019,17,37,2,1
MZ0001,16.53122222,leaf_fw,avg,ton/ha,23/01/2019,2019,23,43,2,1
MZ0001,13.98777778,leaf_fw,avg,ton/ha,31/01/2019,2019,31,51,2,1
MZ0001,19.80411111,leaf_fw,avg,ton/ha,7/2/2019,2019,38,58,2,1
MZ0001,10.61111111,leaf_fw,avg,ton/ha,14/02/2019,2019,45,65,2,1
MZ0001,13.38888889,leaf_fw,avg,ton/ha,1/3/2019,2019,60,80,2,1
MZ0001,15,leaf_fw,avg,ton/ha,8/3/2019,2019,67,87,2,1
MZ0001,13.05555556,leaf_fw,avg,ton/ha,14/03/2019,2019,73,93,2,1
MZ0001,4.722222222,leaf_fw,avg,ton/ha,22/03/2019,2019,81,101,2,1
MZ0001,2.335888889,stalk_fw,avg,ton/ha,19/12/2018,2018,353,8,2,1
MZ0001,6.414111111,stalk_fw,avg,ton/ha,26/12/2018,2018,360,15,2,1
MZ0001,13.32833333,stalk_fw,avg,ton/ha,2/1/2019,2019,2,22,2,1
MZ0001,26.19544444,stalk_fw,avg,ton/ha,9/1/2019,2019,9,29,2,1
MZ0001,34.349,stalk_fw,avg,ton/ha,17/01/2019,2019,17,37,2,1
MZ0001,32.83255556,stalk_fw,avg,ton/ha,23/01/2019,2019,23,43,2,1
MZ0001,31.86555556,stalk_fw,avg,ton/ha,31/01/2019,2019,31,51,2,1
MZ0001,34.07611111,stalk_fw,avg,ton/ha,7/2/2019,2019,38,58,2,1
MZ0001,20.27777778,stalk_fw,avg,ton/ha,14/02/2019,2019,45,65,2,1
MZ0001,26.27777778,stalk_fw,avg,ton/ha,1/3/2019,2019,60,80,2,1
MZ0001,24.22222222,stalk_fw,avg,ton/ha,8/3/2019,2019,67,87,2,1
MZ0001,24.5,stalk_fw,avg,ton/ha,14/03/2019,2019,73,93,2,1
MZ0001,16.94444444,stalk_fw,avg,ton/ha,22/03/2019,2019,81,101,2,1
MZ0001,0,cob_fw,avg,ton/ha,19/12/2018,2018,353,8,2,1
MZ0001,0,cob_fw,avg,ton/ha,26/12/2018,2018,360,15,2,1
MZ0001,0,cob_fw,avg,ton/ha,2/1/2019,2019,2,22,2,1
MZ0001,0,cob_fw,avg,ton/ha,9/1/2019,2019,9,29,2,1
MZ0001,0,cob_fw,avg,ton/ha,17/01/2019,2019,17,37,2,1
MZ0001,1.419333333,cob_fw,avg,ton/ha,23/01/2019,2019,23,43,2,1
MZ0001,17.14633333,cob_fw,avg,ton/ha,31/01/2019,2019,31,51,2,1
MZ0001,30.49211111,cob_fw,avg,ton/ha,7/2/2019,2019,38,58,2,1
MZ0001,15.94444444,cob_fw,avg,ton/ha,14/02/2019,2019,45,65,2,1
MZ0001,16.72222222,cob_fw,avg,ton/ha,1/3/2019,2019,60,80,2,1
MZ0001,8.833333333,cob_fw,avg,ton/ha,8/3/2019,2019,67,87,2,1
MZ0001,29.16666667,cob_fw,avg,ton/ha,14/03/2019,2019,73,93,2,1
MZ0001,6.111111111,cob_fw,avg,ton/ha,22/03/2019,2019,81,101,2,1
MZ0001,0,cob_n,msr,n_m,19/12/2018,2018,353,8,2,1
MZ0001,0,cob_n,msr,n_m,26/12/2018,2018,360,15,2,1
MZ0001,0,cob_n,msr,n_m,2/1/2019,2019,2,22,2,1
MZ0001,0,cob_n,msr,n_m,9/1/2019,2019,9,29,2,1
MZ0001,0,cob_n,msr,n_m,17/01/2019,2019,17,37,2,1
MZ0001,3,cob_n,msr,n_m,23/01/2019,2019,23,43,2,1
MZ0001,14,cob_n,msr,n_m,31/01/2019,2019,31,51,2,1
MZ0001,16,cob_n,msr,n_m,7/2/2019,2019,38,58,2,1
MZ0001,13,cob_n,msr,n_m,14/02/2019,2019,45,65,2,1
MZ0001,12,cob_n,msr,n_m,1/3/2019,2019,60,80,2,1
MZ0001,9,cob_n,msr,n_m,8/3/2019,2019,67,87,2,1
MZ0001,13,cob_n,msr,n_m,14/03/2019,2019,73,93,2,1
MZ0001,9,cob_n,msr,n_m,22/03/2019,2019,81,101,2,1
MZ0001,0,grain_fw,avg,ton/ha,19/12/2018,2018,353,8,2,1
MZ0001,0,grain_fw,avg,ton/ha,26/12/2018,2018,360,15,2,1
MZ0001,0,grain_fw,avg,ton/ha,2/1/2019,2019,2,22,2,1
MZ0001,0,grain_fw,avg,ton/ha,9/1/2019,2019,9,29,2,1
MZ0001,0,grain_fw,avg,ton/ha,17/01/2019,2019,17,37,2,1
MZ0001,0,grain_fw,avg,ton/ha,23/01/2019,2019,23,43,2,1
MZ0001,0,grain_fw,avg,ton/ha,31/01/2019,2019,31,51,2,1
MZ0001,0,grain_fw,avg,ton/ha,7/2/2019,2019,38,58,2,1
MZ0001,4.076666667,grain_fw,avg,ton/ha,14/02/2019,2019,45,65,2,1
MZ0001,13.72222222,grain_fw,avg,ton/ha,1/3/2019,2019,60,80,2,1
MZ0001,15.294,grain_fw,avg,ton/ha,8/3/2019,2019,67,87,2,1
MZ0001,17.22222222,grain_fw,avg,ton/ha,14/03/2019,2019,73,93,2,1
MZ0001,14.55555556,grain_fw,avg,ton/ha,22/03/2019,2019,81,101,2,1
MZ0001,0.373777778,leaf_dw,avg,ton/ha,19/12/2018,2018,353,8,2,1
MZ0001,0.735888889,leaf_dw,avg,ton/ha,26/12/2018,2018,360,15,2,1
MZ0001,1.126444444,leaf_dw,avg,ton/ha,2/1/2019,2019,2,22,2,1
MZ0001,6.938777778,leaf_dw,avg,ton/ha,9/1/2019,2019,9,29,2,1
MZ0001,3.364333333,leaf_dw,avg,ton/ha,17/01/2019,2019,17,37,2,1
MZ0001,3.917333333,leaf_dw,avg,ton/ha,23/01/2019,2019,23,43,2,1
MZ0001,4.232444444,leaf_dw,avg,ton/ha,31/01/2019,2019,31,51,2,1
MZ0001,3.545,leaf_dw,avg,ton/ha,7/2/2019,2019,38,58,2,1
MZ0001,2.447666667,leaf_dw,avg,ton/ha,14/02/2019,2019,45,65,2,1
MZ0001,3.349222222,leaf_dw,avg,ton/ha,21/02/2019,2019,52,72,2,1
MZ0001,3.295,leaf_dw,avg,ton/ha,1/3/2019,2019,60,80,2,1
MZ0001,4.070222222,leaf_dw,avg,ton/ha,8/3/2019,2019,67,87,2,1
MZ0001,4.092333333,leaf_dw,avg,ton/ha,14/03/2019,2019,73,93,2,1
MZ0001,0.175555556,stalk_dw,avg,ton/ha,19/12/2018,2018,353,8,2,1
MZ0001,0.805111111,stalk_dw,avg,ton/ha,26/12/2018,2018,360,15,2,1
MZ0001,1.465666667,stalk_dw,avg,ton/ha,2/1/2019,2019,2,22,2,1
MZ0001,7.047444444,stalk_dw,avg,ton/ha,9/1/2019,2019,9,29,2,1
MZ0001,4.483666667,stalk_dw,avg,ton/ha,17/01/2019,2019,17,37,2,1
MZ0001,5.88,stalk_dw,avg,ton/ha,23/01/2019,2019,23,43,2,1
MZ0001,7.417666667,stalk_dw,avg,ton/ha,31/01/2019,2019,31,51,2,1
MZ0001,6.230666667,stalk_dw,avg,ton/ha,7/2/2019,2019,38,58,2,1
MZ0001,4.237333333,stalk_dw,avg,ton/ha,14/02/2019,2019,45,65,2,1
MZ0001,3.778444444,stalk_dw,avg,ton/ha,21/02/2019,2019,52,72,2,1
MZ0001,6.358222222,stalk_dw,avg,ton/ha,1/3/2019,2019,60,80,2,1
MZ0001,5.560555556,stalk_dw,avg,ton/ha,8/3/2019,2019,67,87,2,1
MZ0001,6.193555556,stalk_dw,avg,ton/ha,14/03/2019,2019,73,93,2,1
MZ0001,5.277777778,stalk_dw,avg,ton/ha,22/03/2019,2019,81,101,2,1
MZ0001,0,cob_dw,avg,ton/ha,19/12/2018,2018,353,8,2,1
MZ0001,0,cob_dw,avg,ton/ha,26/12/2018,2018,360,15,2,1
MZ0001,0,cob_dw,avg,ton/ha,2/1/2019,2019,2,22,2,1
MZ0001,0,cob_dw,avg,ton/ha,9/1/2019,2019,9,29,2,1
MZ0001,0,cob_dw,avg,ton/ha,17/01/2019,2019,17,37,2,1
MZ0001,0.205333333,cob_dw,avg,ton/ha,23/01/2019,2019,23,43,2,1
MZ0001,5.260111111,cob_dw,avg,ton/ha,31/01/2019,2019,31,51,2,1
MZ0001,4.854222222,cob_dw,avg,ton/ha,7/2/2019,2019,38,58,2,1
MZ0001,3.218777778,cob_dw,avg,ton/ha,14/02/2019,2019,45,65,2,1
MZ0001,2.019777778,cob_dw,avg,ton/ha,21/02/2019,2019,52,72,2,1
MZ0001,5.185222222,cob_dw,avg,ton/ha,1/3/2019,2019,60,80,2,1
MZ0001,3.585,cob_dw,avg,ton/ha,8/3/2019,2019,67,87,2,1
MZ0001,0,grain_dw,avg,ton/ha,19/12/2018,2018,353,8,2,1
MZ0001,0,grain_dw,avg,ton/ha,26/12/2018,2018,360,15,2,1
MZ0001,0,grain_dw,avg,ton/ha,2/1/2019,2019,2,22,2,1
MZ0001,0,grain_dw,avg,ton/ha,9/1/2019,2019,9,29,2,1
MZ0001,0,grain_dw,avg,ton/ha,17/01/2019,2019,17,37,2,1
MZ0001,0,grain_dw,avg,ton/ha,23/01/2019,2019,23,43,2,1
MZ0001,0,grain_dw,avg,ton/ha,31/01/2019,2019,31,51,2,1
MZ0001,0,grain_dw,avg,ton/ha,7/2/2019,2019,38,58,2,1
MZ0001,0.956777778,grain_dw,avg,ton/ha,14/02/2019,2019,45,65,2,1
MZ0001,1.646111111,grain_dw,avg,ton/ha,21/02/2019,2019,52,72,2,1
MZ0001,7.419777778,grain_dw,avg,ton/ha,1/3/2019,2019,60,80,2,1
MZ0001,9.358888889,grain_dw,avg,ton/ha,8/3/2019,2019,67,87,2,1
MZ0001,11.04611111,grain_dw,avg,ton/ha,14/03/2019,2019,73,93,2,1
MZ0001,2.386666667,leaf_fw,avg,ton/ha,19/12/2018,2018,353,8,3,1
MZ0001,5.803222222,leaf_fw,avg,ton/ha,26/12/2018,2018,360,15,3,1
MZ0001,4.148333333,leaf_fw,avg,ton/ha,2/1/2019,2019,2,22,3,1
MZ0001,15.11877778,leaf_fw,avg,ton/ha,9/1/2019,2019,9,29,3,1
MZ0001,18.48011111,leaf_fw,avg,ton/ha,17/01/2019,2019,17,37,3,1
MZ0001,12.83255556,leaf_fw,avg,ton/ha,23/01/2019,2019,23,43,3,1
MZ0001,10.955,leaf_fw,avg,ton/ha,31/01/2019,2019,31,51,3,1
MZ0001,22.878,leaf_fw,avg,ton/ha,7/2/2019,2019,38,58,3,1
MZ0001,15.38888889,leaf_fw,avg,ton/ha,14/02/2019,2019,45,65,3,1
MZ0001,16.66666667,leaf_fw,avg,ton/ha,1/3/2019,2019,60,80,3,1
MZ0001,16.72222222,leaf_fw,avg,ton/ha,8/3/2019,2019,67,87,3,1
MZ0001,8.5,leaf_fw,avg,ton/ha,14/03/2019,2019,73,93,3,1
MZ0001,4.666666667,leaf_fw,avg,ton/ha,22/03/2019,2019,81,101,3,1
MZ0001,1.930555556,stalk_fw,avg,ton/ha,19/12/2018,2018,353,8,3,1
MZ0001,8.265,stalk_fw,avg,ton/ha,26/12/2018,2018,360,15,3,1
MZ0001,11.90033333,stalk_fw,avg,ton/ha,2/1/2019,2019,2,22,3,1
MZ0001,34.69833333,stalk_fw,avg,ton/ha,9/1/2019,2019,9,29,3,1
MZ0001,38.17211111,stalk_fw,avg,ton/ha,17/01/2019,2019,17,37,3,1
MZ0001,25.25233333,stalk_fw,avg,ton/ha,23/01/2019,2019,23,43,3,1
MZ0001,23.15911111,stalk_fw,avg,ton/ha,31/01/2019,2019,31,51,3,1
MZ0001,36.46533333,stalk_fw,avg,ton/ha,7/2/2019,2019,38,58,3,1
MZ0001,31.66666667,stalk_fw,avg,ton/ha,14/02/2019,2019,45,65,3,1
MZ0001,28.44444444,stalk_fw,avg,ton/ha,1/3/2019,2019,60,80,3,1
MZ0001,26.5,stalk_fw,avg,ton/ha,8/3/2019,2019,67,87,3,1
MZ0001,20.05555556,stalk_fw,avg,ton/ha,14/03/2019,2019,73,93,3,1
MZ0001,18.16666667,stalk_fw,avg,ton/ha,22/03/2019,2019,81,101,3,1
MZ0001,0,cob_fw,avg,ton/ha,19/12/2018,2018,353,8,3,1
